CompanyName,BusinessType,County,Turnover,AllTax,EmployeeTax,Employees
CYBERNETICA AS,Äriühing,Harju maakond,1097288.72,643921.19,2821858.59,121
BALTI AUTOOSAD AS,Äriühing,Harju maakond,1086833.2,281665.76,9047446.55,117
NORDEA BANK FINLAND PLC,Mitteresident,None,1081228.39,0.01,0.01,0.01
"KARL STORZ VIDEO ENDOSCOPY ESTONIA, OÜ",Äriühing,Harju maakond,1078062.33,416181.95,10003309.93,188
MAGNETIC MRO AS,Äriühing,Harju maakond,1078017.12,959832.29,12321149.93,312
HORIZON TSELLULOOSI JA PABERI AS,Äriühing,Harju maakond,1047353.89,873942.22,12121493.18,366
AS EKSPRESS MEEDIA,Äriühing,Harju maakond,1042542.88,821858.22,4869041.39,303
LPP ESTONIA OÜ,Äriühing,Harju maakond,1040797.42,302410.22,7841988.93,270
"SMARTEN LOGISTICS, AS",Äriühing,Harju maakond,1040363.79,543702.14,21390092.3,282
SILBERAUTO EESTI AS,Äriühing,Harju maakond,1039058.29,689693.73,23034746.18,287
"EURO WORK, OÜ",Äriühing,Harju maakond,1035504.11,847895.88,4277308.64,293
CRAMO ESTONIA AS,Äriühing,Harju maakond,1031188.32,555083.84,4268798.91,157
"FUND EHITUS, OÜ",Äriühing,Harju maakond,1028356.89,380713.1,14508574.61,58
VIIMSI VALLAVALITSUS,Valitsus- ja riigiasutus,Harju maakond,1025254.08,1102184.45,0.01,159
DIEFFENBACHER PANELBOARD OY,Mitteresident,None,1016183.63,0.01,6631461.06,0.01
"NARVA HAIGLA, SIHTASUTUS",Sihtasutus,Ida-Viru maakond,1014060.97,1074765.14,59383.33,708
OSAÜHING N&V,Äriühing,Ida-Viru maakond,1013352.6,592106.14,4228298.18,366
ADMIRAL MARKETS AS,Äriühing,Harju maakond,1011585.42,423359.91,975621.38,105
PIKKSILMA KODU OÜ,Äriühing,Harju maakond,1000330.05,0.01,6395847.09,0.01
RUUKKI PRODUCTS AS,Äriühing,Pärnu maakond,1174861.55,371426.17,20176438.58,132
EESTI PANK,Valitsus- ja riigiasutus,Harju maakond,1529111.44,1486260.98,583509.3,346
RIIGIKOGU KANTSELEI,Valitsus- ja riigiasutus,Harju maakond,1382306.02,1440111.11,4572.91,342
TALLINNA LINNAKANTSELEI,Valitsus- ja riigiasutus,Harju maakond,1127917.54,1177111.35,147801.65,329
"MAAG GRUPP, AS",Äriühing,Tartu maakond,1670422.1,165992.66,15302044.6,72
"ANNE SOOJUS, AS",Äriühing,Tartu maakond,1404351.17,138239.18,12345081.64,45
PÕLLUMEESTE ÜHISTU KEVILI,Äriühing,Tartu maakond,1272212.71,94745.93,14344335.43,34
EESTI MAAÜLIKOOL,Valitsus- ja riigiasutus,Tartu maakond,1602457.62,1570437.28,1050146.07,934
PÕLLUMAJANDUSE REGISTRITE JA INFORMATSIOONI AMET,Valitsus- ja riigiasutus,Tartu maakond,1819947.95,1835153.62,0.01,387
